AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,timestamp
17,1.8,0.41,0.11,4.1,16,20,33,31,35,0,74,2.6,1.9,325,308,1.8,1.2,1393819200
18,1.8,0.39,0.1,3.2,12,15,38,27,24,0,71,1.8,1.9,315,315,3.6,2.1,1393822800
18,1.8,0.39,0.12,3.1,11,14,39,24,11,0,70,1.7,1.9,342,78,2.1,0.7,1393826400
18,1.8,0.39,0.11,2.4,9.4,12,40,39,9,0,69,1.5,1.9,66,63,2.1,1.4,1393830000
19,1.8,0.42,0.15,2.4,13,15,35,39,19,0,68,1.8,1.9,321,316,2.6,0.9,1393833600
17,1.8,0.47,0.18,2.9,19,22,27,51,23,0,73,2.8,2,314,316,2.7,1.7,1393837200
16,1.8,0.43,0.16,1.6,15,17,26,37,22,0,77,1.9,1.9,346,49,1.3,0.5,1393840800
16,1.8,0.4,0.15,1.4,12,13,27,42,18,0,78,1.6,1.9,0.4,51,1.5,0.7,1393844400
16,1.8,0.4,0.12,1.7,10,12,26,29,18,0,78,1.7,1.9,23,26,1.2,0.8,1393848000
16,1.8,0.42,0.12,1.5,11,12,22,25,13,0,78,1.5,1.9,43,56,1.5,0.6,1393851600
17,1.8,0.41,0.11,1.3,11,12,19,31,13,0,78,1.5,1.9,78,164,1.3,0.3,1393855200
17,1.8,0.45,0.17,1.3,13,14,14,33,21,0,79,1.9,2,275,213,1.3,0.6,1393858800
16,1.8,0.45,0.18,1.7,18,20,8.9,40,24,0,80,2.6,2,287,291,1.2,1.1,1393862400
16,1.9,0.43,0.2,2.1,24,26,5.3,40,26,0,82,3.4,2.1,307,315,1.5,1,1393866000
15,1.8,0.41,0.17,2.2,21,24,12,50,19,0,83,3.5,2,320,318,1,0.8,1393869600
16,1.8,0.4,0.16,1.1,22,23,10,56,20,0,83,2.9,2,306,321,1.9,0.6,1393873200
15,1.8,0.32,0.1,0.8,16,17,18,61,20,0,88,2.3,1.9,30,119,1.5,0.4,1393876800
16,1.8,0.34,0.11,1.2,18,19,15,60,22,0,87,1.9,1.9,318,116,1.1,1,1393880400
16,1.8,0.49,0.17,3.7,20,24,8.3,62,26,0,87,1.9,2,160,167,0.9,0.2,1393884000
16,1.8,0.59,0.19,7.9,25,33,6.5,60,29,0,86,2.5,2,317,71,1.4,0.7,1393887600
16,1.8,0.5,0.16,6.7,25,32,10,64,37,0,88,3,2,330,5.6,0.7,0.7,1393891200
18,1.8,0.57,0.22,8.4,23,31,12,78,37,0,83,2.8,2,105,315,1.5,1.3,1393894800
21,1.8,1.97,0.45,9,25,34,26,88,39,0,66,4.9,2.3,243,235,1.5,0.8,1393898400
23,1.8,1.15,0.45,4.3,28,32,37,96,38,0,60,4.9,2.3,258,307,2.8,1.9,1393902000
20,1.8,0.48,0.32,10,31,41,25,92,41,0,72,4.5,2.2,307,292,1.6,2.1,1393905600
21,1.8,0.45,0.26,5.9,30,36,36,90,47,0,67,4.5,2.1,308,310,1.8,1.1,1393909200
21,1.8,0.55,0.32,9.8,44,54,17,98,52,0,68,9.2,2.2,292,276,2.2,1.1,1393912800
19,1.8,0.44,0.3,4.1,30,35,22,96,56,0,76,3.9,2.1,308,0.8,1.7,1.9,1393916400
18,1.8,0.53,0.4,6,39,45,12,91,60,0,80,4.5,2.2,324,323,2.3,0.9,1393920000
18,1.8,0.69,0.49,13,46,59,3.5,100,60,0,80,5.8,2.3,313,295,1.9,1,1393923600
17,1.8,0.49,0.26,4.1,32,36,12,102,59,0,83,3.8,2.1,2.3,92,1.4,0.4,1393927200
18,1.8,0.57,0.31,1.8,30,32,11,104,49,0,83,3,2.1,39,46,1.2,0.4,1393930800
18,1.8,0.4,0.17,0.8,14,15,29,68,32,0,79,2.2,1.9,74,92,1.2,0.8,1393934400
18,1.8,0.44,0.22,0.9,18,18,23,54,24,1,80,2.2,2,22,43,0.8,0.5,1393938000
17,1.8,0.43,0.19,3.2,20,23,14,37,21,1,86,2.1,2,324,303,1.8,1.1,1393941600
16,1.9,0.43,0.23,2.9,26,29,2.4,42,34,3.4,90,1.8,2.1,321,317,1.3,0.9,1393945200
16,1.8,0.44,0.24,1.9,24,26,6.7,26,28,0.4,91,1.4,2.1,345,59,1.8,0.6,1393948800
16,1.8,0.38,0.19,0.9,17,17,12,13,19,0,91,1,2,58,32,1.8,0.9,1393952400
15,1.8,0.28,0.11,0.7,11,11,25,2,9,4,91,0.9,1.9,49,51,2.2,0.4,1393956000
15,1.7,0.25,0.06,1.4,5.8,7.2,31,4,3,0,88,0.8,1.8,62,53,3,2.1,1393959600
15,1.7,0.27,0.05,1.4,5.1,6.5,32,13,2,0,82,0.8,1.8,62,74,2,1.8,1393963200
15,1.7,0.29,0.06,1.6,5.3,6.8,30,20,1,0,83,0.8,1.8,69,66,2.6,1.8,1393966800
14,1.8,0.32,0.06,1.6,5.7,7.3,28,19,5,0,85,0.8,1.8,66,63,2.9,2.1,1393970400
14,1.8,0.36,0.07,2,6.8,8.8,27,9,5,0,84,1,1.8,62,53,4.2,2.7,1393974000
15,1.8,0.37,0.07,2.3,5.5,7.8,29,0,6,0,81,1,1.8,64,64,3,2.1,1393977600
16,1.8,0.37,0.1,2.9,6.8,9.7,29,10,7,0,75,1.2,1.9,72,96,2.7,1.4,1393981200
17,1.8,0.36,0.08,2.8,6.5,9.3,32,10,7,0,71,1.3,1.8,66,72,2.8,2,1393984800
19,1.8,0.36,0.09,2.8,6,8.7,36,10,9,0,65,1.5,1.8,15,307,3.4,0.9,1393988400
20,1.7,0.34,0.08,2.1,5.3,7.4,43,5,3,0,60,1.5,1.8,312,316,4.5,2.5,1393992000
21,1.7,0.3,0.07,1.9,4.9,6.8,47,12,3,0,58,1.5,1.8,317,15,2.4,0.8,1393995600
21,1.7,0.3,0.09,2.1,5.4,7.4,46,29,2,0,57,1.5,1.8,296,307,4.1,2,1393999200
20,1.7,0.3,0.08,2.1,5.8,7.9,45,38,4,0,59,1.5,1.8,75,278,1.9,0.5,1394002800
19,1.7,0.32,0.17,1.9,6.7,8.6,41,45,5,0,62,1.3,1.9,66,67,2.2,0.3,1394006400
18,1.7,0.39,0.13,2,12,14,31,41,4,0,66,1.2,1.9,67,68,2.5,0.9,1394010000
16,1.7,0.34,0.08,1.6,9.4,11,32,32,10,0,71,1.1,1.8,63,60,2.8,2,1394013600
15,1.7,0.32,0.06,1.4,6.7,8.1,34,20,18,0,74,1,1.8,63,71,3.3,2.3,1394017200
15,1.7,0.28,0.04,1.2,5.5,6.7,36,11,17,0,74,1,1.8,61,57,3.4,2.4,1394020800
15,1.7,0.27,0.04,1.4,4.6,6,37,11,17,0,74,0.9,1.8,63,60,3.3,2.2,1394024400
15,1.7,0.27,0.04,1.4,4.4,5.8,37,10,9,0,74,1,1.8,65,60,2.5,1.4,1394028000
15,1.7,0.28,0.05,1.4,4.4,5.8,34,12,13,0,74,1,1.8,60,353,1.1,1.2,1394031600
15,1.7,0.28,0.06,1.3,5,6.3,32,12,5,0,76,1,1.8,56,323,1.2,0.9,1394035200
14,1.7,0.27,0.15,1.3,4.6,5.9,31,15,9,0,76,1.3,1.9,325,329,1.8,0.8,1394038800
14,1.7,0.26,0.07,1.4,3.9,5.3,32,9,2,0,77,1.1,1.8,59,62,2.2,1.2,1394042400
14,1.7,0.26,0.04,1.4,3.3,4.7,33,4,4,0,77,1,1.8,70,60,2.5,1.5,1394046000
14,1.7,0.26,0.04,1.4,3.4,4.8,34,3,0,0,77,1,1.8,69,83,2.8,1.8,1394049600
14,1.7,0.29,0.04,1,4.5,5.5,31,6,0,0,77,1.1,1.8,63,57,2.4,1.5,1394053200
14,1.8,0.35,0.12,1.4,7.6,9,26,9,0,0,77,1.2,1.9,357,303,2,0.6,1394056800
14,1.8,0.45,0.1,1.5,9.8,11,26,10,6,0,80,1.3,1.9,338,111,2.1,0.7,1394060400
15,1.8,0.5,0.18,2.5,15,18,17,15,8,0,78,1.5,1.9,314,310,1.5,0.4,1394064000
14,1.8,0.48,0.24,5.4,24,29,16,30,14,0,80,4,2,323,315,1,0.8,1394067600
14,1.8,0.51,0.32,6.8,28,35,13,40,16,0,80,4.3,2.1,318,10,1.3,1,1394071200
16,1.8,0.67,0.34,7.5,22,29,13,40,16,0,77,3.1,2.1,272,279,1.4,0.1,1394074800
16,1.8,0.68,0.29,10,25,36,13,64,24,0,74,4.1,2.1,298,311,2.9,1.9,1394078400
15,1.8,0.47,0.18,8.2,25,33,15,63,20,0,77,3.9,2,311,316,3.4,2.1,1394082000
15,1.8,0.46,0.29,4.8,23,28,16,68,24,0,78,2,2.1,336,37,1,0.5,1394085600
16,1.8,0.43,0.17,2.8,16,18,19,42,29,0,78,1,2,78,69,1.8,1.5,1394089200
16,1.8,0.5,0.25,2,16,18,21,45,41,0,78,1,2,71,7,1.4,1.1,1394092800
15,1.8,0.51,0.23,2.5,22,24,12,47,32,0,80,1.5,2,307,38,1.7,1.1,1394096400
15,1.8,0.39,0.18,1.8,16,17,17,49,23,0,82,0.8,1.9,34,359,2.1,0.5,1394100000
14,1.8,0.33,0.19,1.7,19,20,17,28,10,0,84,0.8,2,65,58,2.5,1,1394103600
14,1.8,0.31,0.14,1.5,13,15,22,13,6,0,85,0.7,1.9,66,53,2.6,1.3,1394107200
14,1.7,0.28,0.1,1.3,10,11,26,4,1,0,84,0.7,1.9,62,68,1.7,1.3,1394110800
14,1.8,0.26,0.13,1.1,8.8,9.9,26,6,0,0,84,0.7,1.9,24,16,1.6,0.3,1394114400
14,1.7,0.23,0.1,1.3,7,8.2,30,9,1,0.6,85,0.6,1.8,56,66,1.9,0.6,1394118000
14,1.7,0.22,0.09,1.3,6.2,7.5,30,9,4,0,86,0.6,1.8,23,317,3,0.8,1394121600
13,1.7,0.2,0.07,1.4,5.7,7.1,31,6,7,0,86,1.2,1.8,13,21,1.7,0.4,1394125200
13,1.7,0.2,0.05,1.5,5,6.5,32,3,10,0,86,1.2,1.8,62,64,1.7,0.7,1394128800
13,1.7,0.2,0.06,1.3,4.8,6.1,32,3,8,0,86,1.2,1.8,358,302,2,0.7,1394132400
13,1.7,0.21,0.05,1.3,4.7,6,31,7,5,0,87,1.2,1.8,60,54,1.1,1,1394136000
13,1.7,0.21,0.04,0.9,4.4,5.3,32,6,0,0.6,85,1.2,1.8,58,80,2,0.9,1394139600
14,1.7,0.24,0.05,1.2,5.9,7.1,28,11,0,0,85,1.2,1.8,48,10,1.6,0.8,1394143200
14,1.8,0.35,0.1,1.8,13,15,20,10,0,0.2,86,1.3,1.9,44,64,2.8,0.7,1394146800
14,1.7,0.29,0.12,3.1,8.9,12,25,7,0,0.2,85,1.4,1.9,352,314,2,0.4,1394150400
15,1.8,0.26,0.11,2.7,7.3,10,29,6,0,0,83,1.4,1.9,27,324,2,0.5,1394154000
15,1.8,0.28,0.15,2.6,10,13,30,3,0,0,81,1.6,1.9,23,64,2.3,0.4,1394157600
15,1.7,0.27,0.09,2.7,8.9,12,32,7,0,0,80,1.6,1.8,66,81,2.3,2.1,1394161200
17,1.7,0.28,0.07,2.7,7.7,10,33,12,13,0,74,1.7,1.8,351,316,1.9,0.6,1394164800
18,1.8,0.33,0.18,4,15,19,36,21,15,0,71,3.5,1.9,315,314,3.6,2.6,1394168400
17,1.8,0.32,0.2,1.4,14,15,33,30,21,0,75,1.8,1.9,22,76,1.7,0.5,1394172000
16,1.8,0.34,0.24,1.9,16,18,28,33,15,0,79,1.9,2,356,66,1.4,0.4,1394175600
16,1.8,0.34,0.22,2,18,20,25,38,18,0,80,1.9,2,51,43,1.4,0.9,1394179200
16,1.8,0.36,0.13,3.9,14,18,26,36,19,0,79,1.4,1.9,93,132,0.9,1.6,1394182800
16,1.8,0.47,0.22,1.8,19,20,18,32,20,0,79,1.8,2,323,324,1.4,0.8,1394186400
16,1.8,0.5,0.28,2.3,29,31,6.3,35,24,0,82,3.6,2.1,314,306,1.2,0.8,1394190000
16,1.8,0.56,0.33,5.6,32,37,2.4,45,17,0,84,3.5,2.2,288,297,1.8,1.3,1394193600
15,1.8,0.47,0.27,2.6,29,32,4.2,52,21,0,86,3.9,2.1,344,320,0.8,0.5,1394197200
16,1.8,0.49,0.29,2.8,29,32,2.2,40,21,0,86,3.3,2.1,348,335,0.6,0.4,1394200800
16,1.8,0.47,0.24,3,25,28,2.1,39,29,0,86,2.6,2.1,14,118,1.4,0.2,1394204400
16,1.8,0.46,0.23,3.1,22,25,2.4,39,23,0,86,2.2,2.1,34,318,1.8,0.3,1394208000
15,1.8,0.42,0.22,1.9,21,23,4.7,58,21,0,87,2.1,2.1,12,76,1.3,0.4,1394211600
16,1.8,0.4,0.18,1.3,17,18,4.4,45,20,0,87,1.8,2,122,169,1.5,0.3,1394215200
16,1.8,0.44,0.2,2.1,18,20,3.3,39,18,0,85,2.4,2,310,307,3,1.3,1394218800
15,1.8,0.38,0.16,1.7,17,18,10,22,26,0,89,2.2,2,1.7,61,1.3,0.9,1394222400
16,1.8,0.35,0.1,1,9.5,11,16,25,20,0,87,1.5,1.9,91,99,2.7,2,1394226000
16,1.8,0.44,0.16,2.3,12,15,10,27,21,0,85,1.8,2,149,195,2,0.5,1394229600
16,1.9,0.64,0.3,7.3,19,26,6.1,43,9,0,87,2.7,2.2,226,252,1.8,2,1394233200
16,1.9,0.58,0.25,9.6,23,33,6.1,49,8,0,88,2.8,2.1,320,337,1,1.1,1394236800
17,1.9,0.53,0.26,9.7,20,30,9.9,57,18,0,87,3.1,2.1,312,313,2.2,1.5,1394240400
16,1.8,0.43,0.16,4.9,23,28,20,57,28,0,88,4,2,313,307,2.4,2.3,1394244000
15,1.8,0.4,0.13,2.3,20,23,32,59,37,0,90,3.8,1.9,310,327,1.6,1.7,1394247600
15,1.8,0.38,0.12,1.7,12,13,39,49,21,0,88,1.8,1.9,327,308,2.9,0.9,1394251200
14,1.8,0.37,0.08,1.6,9.8,11,43,31,9,0,85,1.6,1.9,314,313,2.2,0.7,1394254800
14,1.8,0.39,0.1,1.2,9.9,11,43,17,2,0,85,1.7,1.9,329,295,2.6,0.6,1394258400
13,1.8,0.42,0.14,1.2,11,12,40,15,6,0,86,2.8,1.9,65,81,1.6,0.6,1394262000
13,1.8,0.41,0.11,1.1,10,11,40,22,11,0,86,1.7,1.9,66,59,2.4,1.6,1394265600
14,1.8,0.45,0.1,1,11,12,34,27,18,0.8,86,1.5,1.9,66,70,2.2,1.4,1394269200
14,1.8,0.44,0.08,1,11,12,32,30,18,0.6,87,1.5,1.9,67,318,1.9,1.2,1394272800
14,1.8,0.48,0.1,1,13,14,27,20,12,2.4,89,1.5,1.9,34,58,3,1,1394276400
14,1.8,0.41,0.06,0.8,6.6,7.4,34,18,2,1.2,88,1.4,1.8,80,65,1.6,1.9,1394280000
14,1.8,0.46,0.1,1.1,11,12,26,11,0,2,89,1.5,1.9,48,77,2,0.5,1394283600
14,1.8,0.41,0.07,1.4,7.2,8.5,33,9,0,0,88,1.5,1.9,76,64,2.2,1.2,1394287200
14,1.8,0.42,0.07,1.2,6.5,7.7,34,10,0,0,87,1.4,1.9,64,55,2.7,1.6,1394290800
14,1.8,0.41,0.06,0.9,6.4,7.2,36,9,4,0,87,1.5,1.8,67,94,2.8,1.9,1394294400
13,1.8,0.34,0.06,0.8,6,6.8,36,21,4,0,87,1.2,1.8,70,57,2.6,1.1,1394298000
13,1.8,0.3,0.04,0.9,4.9,5.8,38,15,6,0,86,1.2,1.8,69,75,3.4,1.9,1394301600
13,1.8,0.25,0.04,0.4,4.1,4.4,38,12,1,0,87,1.2,1.8,70,61,2.2,1.2,1394305200
12,1.7,0.2,0.04,0.7,3.9,4.7,37,3,1,0,88,1.1,1.8,61,61,2.4,1.3,1394308800
12,1.7,0.21,0.04,0.9,4.4,5.3,36,4,0,0,86,1.2,1.8,60,52,3,2.1,1394312400
13,1.7,0.23,0.04,0.8,5,5.8,38,6,0,0,85,1.2,1.8,65,64,1.9,1.7,1394316000
12,1.8,0.27,0.05,1,5.9,6.9,39,5,0,0,86,1.4,1.8,75,75,3.2,1.7,1394319600
12,1.8,0.28,0.04,1,6,6.9,39,9,0,0,85,1.4,1.8,77,70,3.1,1.6,1394323200
14,1.8,0.28,0.05,1.4,5.8,7.2,40,9,0,0,78,1.3,1.8,70,66,2.4,2,1394326800
14,1.8,0.28,0.05,1.6,5.6,7.1,39,14,0,0,77,1.4,1.8,108,80,3.3,0.8,1394330400
14,1.8,0.28,0.05,1.5,6,7.5,39,15,1,0,75,1.6,1.8,79,85,3,1,1394334000
15,1.8,0.27,0.04,1.4,5.5,6.9,41,16,9,0,72,1.6,1.8,41,309,2.7,0.8,1394337600
15,1.8,0.28,0.05,1.4,5.7,7,39,11,15,0,71,1.5,1.8,59,71,2.6,0.4,1394341200
15,1.8,0.29,0.05,1.4,6.4,7.7,38,12,13,0,72,1.4,1.8,345,72,2.4,0.5,1394344800
15,1.8,0.31,0.06,1.5,6.8,8.4,37,9,8,0,72,1.5,1.8,319,359,1.7,0.5,1394348400
15,1.8,0.33,0.07,1.5,7.8,9.3,36,17,6,0,74,1.4,1.8,23,340,1.9,0.2,1394352000
14,1.8,0.34,0.07,1.1,8.5,9.6,35,16,11,0,76,1.4,1.8,60,62,2,0.6,1394355600
13,1.8,0.35,0.07,1,9.9,11,33,24,14,0,78,1.5,1.8,69,67,1.5,0.6,1394359200
13,1.8,0.32,0.05,0.9,7.9,8.8,34,19,19,0,78,1.4,1.8,67,54,2.7,1.3,1394362800
13,1.8,0.27,0.04,0.9,5.6,6.5,36,19,14,0,78,1.3,1.8,58,60,2.6,2.1,1394366400
13,1.7,0.28,0.04,0.9,5.5,6.4,34,16,10,0,77,1.4,1.8,61,77,1.9,1.2,1394370000
13,1.8,0.27,0.04,0.8,5.8,6.6,33,14,6,0,78,1.3,1.8,56,63,1.6,1.4,1394373600
13,1.8,0.26,0.03,0.8,4.6,5.4,33,10,10,0,77,1.3,1.8,59,36,1,1.1,1394377200
14,1.8,0.26,0.04,0.8,4.4,5.1,30,12,9,0,77,1.3,1.8,37,340,0.7,0.6,1394380800
14,1.8,0.28,0.08,0.8,6,6.8,25,10,4,0,79,1.1,1.9,274,337,0.9,0.3,1394384400
13,1.8,0.27,0.06,0.8,6,6.7,22,15,4,0,84,1,1.8,294,284,1.1,0.7,1394388000
13,1.8,0.26,0.05,0.8,6,6.8,21,10,7,0.4,89,1.7,1.8,317,39,0.9,0.7,1394391600
13,1.8,0.26,0.07,0.7,5.5,6.1,17,16,7,0.2,91,1,1.8,42,329,0.5,0.4,1394395200
14,1.8,0.3,0.09,0.7,7,7.7,11,17,4,0,91,1,1.9,68,48,0.9,0.5,1394398800
14,1.8,0.43,0.12,3,12,15,6.9,21,1,0,91,1.1,1.9,31,322,0.7,0.3,1394402400
15,1.8,0.85,0.26,17,16,33,3.1,24,14,0,90,1.9,2.1,9.4,294,0.8,0.2,1394406000
16,1.9,0.96,0.45,23,21,43,3.8,32,24,0,88,3.5,2.3,224,231,1.4,1.5,1394409600
16,1.9,0.9,0.59,23,25,49,4.3,41,31,0,86,5,2.5,207,212,2.9,2.4,1394413200
17,1.9,0.86,0.8,18,26,44,10,57,31,0,83,5.2,2.7,202,187,3,2.7,1394416800
18,1.8,0.45,0.14,2.6,7.8,10,30,57,31,0,75,2.7,1.9,189,192,3.8,3.6,1394420400
19,1.8,0.41,0.15,2,7.8,9.8,40,62,33,0,71,3.2,1.9,195,205,3.5,3.6,1394424000
19,1.8,0.53,0.39,1.5,17,18,45,65,36,0,69,4.8,2.2,210,267,2.2,2.8,1394427600
18,1.8,0.63,0.37,3.4,37,40,29,81,51,0,72,7.2,2.2,309,289,0.8,1.1,1394431200
18,1.9,0.73,0.48,2.5,38,40,33,112,70,0,71,7.3,2.3,267,291,1.6,1,1394434800
18,1.9,0.77,0.46,2.4,42,44,31,136,86,0,72,7.6,2.3,292,300,1.6,1.2,1394438400
17,1.9,0.83,0.44,1.7,40,42,28,155,86,0,75,6.5,2.3,228,167,2.3,0.3,1394442000
18,1.9,0.72,0.44,1.9,29,31,26,137,74,0,74,4.6,2.3,193,203,1.9,2.2,1394445600
17,1.9,0.85,0.58,1.5,32,34,18,140,70,0,75,5.2,2.5,202,193,1.6,1.5,1394449200
17,1.9,1.05,0.72,3.3,44,48,5.5,132,77,0,78,4.7,2.7,98,104,1.3,0.5,1394452800
17,1.9,0.81,0.4,1.6,28,29,18,130,85,0,77,3.7,2.3,162,208,1.5,1.2,1394456400
17,1.9,0.92,0.56,3.1,36,39,6.2,128,78,0,78,5.6,2.5,226,313,1.8,1.4,1394460000
16,2,0.87,0.52,2.6,44,47,2.7,124,68,0,80,6.6,2.5,335,268,0.5,0.2,1394463600
16,2,0.93,0.52,9,41,50,1.2,136,62,0,83,5,2.5,149,172,1,0.7,1394467200
16,1.9,0.81,0.47,6.7,33,40,4.7,119,63,0,87,3.1,2.4,69,100,1.6,0.7,1394470800
16,1.8,0.51,0.18,0.6,11,11,23,108,64,0,86,1.9,2,105,66,1.4,1.6,1394474400
16,1.8,0.45,0.16,1.1,8.7,9.9,25,90,61,0,86,1.8,2,102,118,2.4,1.2,1394478000
16,1.8,0.41,0.11,1.1,6.5,7.5,23,79,57,0,86,1.5,1.9,101,58,0.8,1.1,1394481600
17,1.8,0.43,0.11,1.1,8.5,9.6,23,50,43,0,86,1.6,1.9,77,126,0.8,0.4,1394485200
16,1.8,0.57,0.17,3.2,15,18,14,37,34,0,86,1.7,2,109,124,1.6,0.9,1394488800
17,1.8,0.87,0.25,9.2,20,30,9.7,36,26,0,85,2.1,2,106,122,1,0.7,1394492400
18,1.9,1.15,0.44,12,28,41,12,47,26,0,81,3.9,2.3,264,307,1.6,1.2,1394496000
18,1.8,0.71,0.3,13,24,38,15,61,36,0,79,6.1,2.1,292,221,1.2,0.6,1394499600
20,1.8,0.75,0.33,9.1,28,37,30,98,53,0,68,8,2.2,294,310,2.8,1.5,1394503200
19,1.8,0.55,0.26,7.8,26,34,30,108,54,0,75,6.5,2.1,313,308,1.7,2.1,1394506800
20,1.8,0.51,0.21,4,20,24,48,122,59,0,72,5.2,2,298,294,1.9,1.5,1394510400
19,1.8,0.45,0.18,2.6,18,20,53,102,61,0,74,4.3,2,302,310,2.7,2.3,1394514000
18,1.8,0.38,0.15,2.4,17,19,48,111,69,0,81,3.7,1.9,313,316,2.2,2.4,1394517600
17,1.7,0.39,0.16,3,25,28,38,112,66,0,84,6.1,1.9,321,319,1.2,0.9,1394521200
17,1.8,0.49,0.25,2.5,25,28,34,130,66,0.2,85,4.5,2,310,313,1.6,0.9,1394524800
17,1.8,0.66,0.34,2.8,31,34,24,146,73,0,87,4,2.1,322,45,1,1,1394528400
17,1.8,0.54,0.29,1.3,21,22,25,140,71,0.2,89,2.5,2.1,56,92,1.9,0.6,1394532000
18,1.8,0.43,0.1,1.1,12,13,30,116,60,0,86,2.2,1.9,82,97,1.1,1.3,1394535600
17,1.8,0.42,0.09,1.5,9.3,11,33,72,44,0,83,1.8,1.8,101,113,1.8,1.3,1394539200
17,1.9,0.64,0.28,3.6,24,28,8.5,70,45,0,88,2,2.1,264,219,0.6,0.8,1394542800
16,1.9,0.59,0.38,2.9,28,31,2.5,82,44,0,92,2,2.2,340,323,1,0.5,1394546400
16,1.8,0.56,0.27,3.1,28,31,2.5,106,49,0,94,2.2,2.1,265,294,0.9,0.6,1394550000
16,1.8,0.53,0.28,2,25,27,3.2,114,46,0,95,2.2,2.1,28,337,1.1,0.2,1394553600
16,1.8,0.43,0.17,1.5,16,17,9.3,111,46,0,95,1.8,2,237,150,1,0.2,1394557200
16,1.9,0.44,0.27,1.3,14,15,7.9,109,37,0,96,1.9,2.1,332,305,1.3,0.3,1394560800
16,1.9,0.45,0.22,1.6,17,19,3.6,98,28,0,96,2.3,2.1,340,46,1.1,0.5,1394564400
16,1.9,0.46,0.24,6.4,20,27,0.8,93,32,0,97,4.5,2.2,349,225,0.8,0.2,1394568000
16,1.9,0.49,0.24,6.2,20,26,1.4,85,42,0,97,4.5,2.2,68,79,0.9,0.1,1394571600
17,1.9,0.63,0.27,10,19,29,3.6,86,42,0,95,4.8,2.2,173,202,2.9,1.3,1394575200
17,1.9,1.13,0.48,25,21,47,2.6,92,49,0,94,10,2.4,215,294,1.2,1.5,1394578800
17,2,1.21,0.58,31,27,58,1.8,105,57,0,94,4.2,2.6,341,12,0.9,0.7,1394582400
18,2,0.97,0.53,21,26,47,9.5,117,80,0,91,4.9,2.5,195,207,3,0.9,1394586000
19,1.9,0.93,0.63,7.7,31,39,21,110,93,0,81,5.8,2.5,211,202,2.4,2.7,1394589600
19,1.8,0.71,0.42,2.4,19,21,37,106,75,0,77,5.6,2.3,191,196,1.5,2,1394593200
21,1.8,0.66,0.38,2.1,13,15,43,93,54,0,71,6.2,2.2,192,182,2.3,2.8,1394596800
23,1.8,0.54,0.29,1.5,11,13,46,83,28,0,66,4.1,2.1,188,195,3.2,3.1,1394600400
24,1.8,0.67,0.52,1.8,18,20,45,83,31,0,65,6.9,2.3,202,199,3.8,3.3,1394604000
24,1.9,0.82,0.71,2.1,26,28,57,93,47,0,65,6.3,2.6,212,230,2.4,2.7,1394607600
23,1.9,1.23,0.84,1.7,44,46,40,135,69,0,67,8.8,2.8,235,189,1,1.2,1394611200
19,1.9,0.81,0.4,6.7,46,53,1.8,157,97,0,85,7.6,2.3,301,303,1.9,1,1394614800
19,1.9,0.74,0.41,8.1,46,54,3.2,173,98,1.8,89,11,2.3,26,0.8,0.9,0.6,1394618400
19,1.9,0.87,0.38,4.8,46,51,4.7,165,94,0.8,90,8.4,2.2,94,141,1.5,0.7,1394622000
-3.1,1.9,0.85,0.42,4.7,35,40,8.6,153,85,10,92,4.4,2.3,300,124,1.8,0.5,1394625600
-8,1.9,0.73,0.24,1.3,28,30,23,113,68,1,93,3.3,2.1,107,110,2.3,2.1,1394629200
-7.2,1.8,0.56,0.16,0.9,13,13,35,66,49,0.6,91,2.3,2,133,169,1.7,2.3,1394632800
-6.8,1.7,0.35,0.06,0.5,5.7,6.2,39,32,16,0.2,86,2.1,1.8,147,143,3.1,3,1394636400
-6.5,1.7,0.31,0.05,0.5,4.8,5.4,36,30,6,0,82,2,1.8,168,171,1.2,2,1394640000
-7.1,1.7,0.31,0.04,0.5,4.4,4.9,30,31,5,0,87,1.9,1.8,155,178,2.8,1.5,1394643600
-7.4,1.8,0.43,0.17,1,11,12,28,25,18,3,87,2.5,2,187,173,2.7,1.9,1394647200
-8.1,1.7,0.3,0.03,1.8,2.9,4.7,40,12,19,2.4,89,1.8,1.7,140,159,1.2,1.5,1394650800
-8.3,1.7,0.32,0.04,1.5,3.6,5.1,35,17,14,0,90,1.9,1.7,157,170,3,1.7,1394654400
-8.4,1.7,0.36,0.08,1.8,6.5,8.2,30,29,7,0,89,2,1.8,179,174,0.9,0.8,1394658000
-9.3,1.8,0.63,0.24,4.4,20,24,11,46,7,6.4,92,2.6,2.1,252,24,1.6,0.6,1394661600
-10.6,1.8,0.6,0.19,2.9,18,21,18,39,13,4.2,95,3.1,2,342,313,2.2,0.7,1394665200
-11.2,1.8,0.49,0.16,3.2,17,20,21,30,7,2.6,96,3.6,1.9,306,305,3.3,1.6,1394668800
-12.1,1.8,0.46,0.14,2.9,12,15,21,17,5,0.6,95,2.5,1.9,54,60,1.6,1.5,1394672400
0,1.8,0.44,0.12,3.6,8.7,12,27,19,3,0,88,2.2,1.9,61,68,2.2,1.5,1394676000
0,1.8,0.54,0.23,4.1,12,16,20,13,4,0,85,2.5,2,314,311,2.3,1.3,1394679600
